Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G2,W,L,ERA,WHIP,SV,Type,Drafted Out Of,SchoolID
2020,5,,141,FrRnd,10,Angels,Y,"$140,000 ",Adam Seminaris ,P,,,,,,,,,,,,,4Yr,California State University Long Beach,longbeach
2020,5,,142,FrRnd,11,White Sox,Y,"$150,000 ",Bailey Horn ,P,,,,,,,,,,,,,4Yr,Auburn University,auburn
2020,5,,146,FrRnd,15,Phillies,Y,"$100,000 ",Baron Radcliff ,OF,,,,,,,,,,,,,4Yr,Georgia Institute of Technology,gatech
2020,5,,149,FrRnd,18,D'backs,Y,"$100,000 ",Brandon Pfaadt ,P,,,,,,,,,,,,,4Yr,Bellarmine Univeristy,kybella
2020,5,,156,FrRnd,25,Braves,Y,"$847,500 ",Bryce Elder ,P,,,,,,,,,,,,,4Yr,University of Texas at Austin,texas
2020,5,,133,FrRnd,2,Orioles,N,,Carter Baumler ,P,,,,,,,,,,,,,HS,Dowling Catholic HS,#N/A
2020,5,,132,FrRnd,1,Tigers,Y,"$500,000 ",Colt Keith ,3B,,,,,,,,,,,,,HS,Biloxi HS,#N/A
2020,5,,150,FrRnd,19,Mets,Y,"$20,000 ",Eric Orze ,P,,,,,,,,,,,,,4Yr,University of New Orleans,norleans
2020,5,,159,FrRnd,28,Dodgers,Y,"$97,500 ",Gavin Stone ,P,,,,,,,,,,,,,4Yr,University of Central Arkansas,carkansas
2020,5,,151,FrRnd,20,Brewers,Y,"$300,000 ",Hayden Cantrelle ,SS,,,,,,,,,,,,,4Yr,University of Louisiana at Lafayette,ulala
2020,5,,140,FrRnd,9,Rockies,Y,"$394,300 ",Jack Blomgren ,SS,,,,,,,,,,,,,4Yr,University of Michigan,michigan
2020,5,,139,FrRnd,8,Padres,Y,"$300,000 ",Jagger Haynes ,P,,,,,,,,,,,,,HS,West Columbus HS,#N/A
2020,5,,155,FrRnd,24,Rays,Y,"$340,000 ",Jeff Hakanson ,P,,,,,,,,,,,,,4Yr,University of Central Florida,cflorida
2020,5,,143,FrRnd,12,Reds,Y,"$500,000 ",Joe Boyle ,P,,,,,,,,,,,,,4Yr,University of Notre Dame,notredame
2020,5,,158,FrRnd,27,Twins,Y,"$270,000 ",Kala'i Rosario ,OF,,,,,,,,,,,,,HS,Waiakea HS,#N/A
2020,5,,147,FrRnd,16,Cubs,Y,"$900,000 ",Koen Moreno ,P,,,,,,,,,,,,,HS,Panther Creek HS,#N/A
2020,5,,134,FrRnd,3,Marlins,N,,Kyle Hurt ,P,,,,,,,,,,,,,4Yr,University of Southern California,usc
2020,5,,152,FrRnd,21,Cardinals,Y,"$100,000 ",LJ Jones ,OF,,,,,,,,,,,,,4Yr,California State University Long Beach,longbeach
2020,5,,138,FrRnd,7,Pirates,Y,"$125,000 ",Logan Hofmann ,P,,,,,,,,,,,,,4Yr,Northwestern State University of Louisiana,nwstate
2020,5,,154,FrRnd,23,Indians,Y,"$340,000 ",Mason Hickman ,P,,,,,,,,,,,,,4Yr,Vanderbilt University,vandy
2020,5,,153,FrRnd,22,Nationals,Y,"$100,000 ",Mitchell Parker ,P,,,,,,,,,,,,,JC,"San Jacinto College, North Campus",txsjjcn
2020,5,,144,FrRnd,13,Giants,N,,Ryan Murphy ,P,,,,,,,,,,,,,4Yr,LeMoyne College,lemoyne
2020,5,,148,FrRnd,17,Red Sox,N,,Shane Drohan ,P,,,,,,,,,,,,,4Yr,Florida State University,floridast
2020,5,,160,FrRnd,29,Astros,Y,"$56,000 ",Shay Whitcomb ,SS,,,,,,,,,,,,,4Yr,"University of California, San Diego",ucsd
2020,5,,157,FrRnd,26,Athletics,Y,"$400,000 ",Stevie Emanuels ,P,,,,,,,,,,,,,4Yr,University of Washington,washington
2020,5,,137,FrRnd,6,Mariners,Y,"$406,000 ",Taylor Dollard ,P,,,,,,,,,,,,,4Yr,"California Polytechnic State University, San Luis Obispo",calpoly
2020,5,,145,FrRnd,14,Rangers,Y,"$800,000 ",Thomas Saggese ,SS,,,,,,,,,,,,,HS,Carlsbad HS,#N/A
2020,5,,135,FrRnd,4,Royals,Y,"$200,000 ",Will Klein ,P,,,,,,,,,,,,,4Yr,Eastern Illinois University,eillinois
2020,5,,136,FrRnd,5,Blue Jays,Y,"$97,500 ",Zach Britton ,OF,,,,,,,,,,,,,4Yr,University of Louisville,louisville
2020,4,,119,FrRnd,18,D'backs,N,,A.J. Vukovich ,3B,,,,,,,,,,,,,HS,East Troy HS,#N/A
2020,4,,129,FrRnd,28,Yankees,N,,Beck Way ,P,,,,,,,,,,,,,JC,Northwest Florida State College,flnwfsc
2020,4,,123,FrRnd,22,Nationals,Y,"$20,000 ",Brady Lindsly ,C,,,,,,,,,,,,,4Yr,University of Oklahoma,oklahoma
2020,4,,116,FrRnd,15,Phillies,Y,"$225,000 ",Carson Ragsdale ,P,,,,,,,,,,,,,4Yr,University of South Florida,sflorida
2020,4,,130,FrRnd,29,Dodgers,Y,"$397,500 ",Carson Taylor ,C,,,,,,,,,,,,,4Yr,Virginia Polytechnic Institute and State University,vatech
2020,4,,110,FrRnd,9,Rockies,Y,"$450,000 ",Case Williams ,P,,,,,,,,,,,,,HS,Douglas County HS,#N/A
2020,4,,105,FrRnd,4,Royals,Y,"$450,000 ",Christian Chamberlain ,P,,,,,,,,,,,,,4Yr,Oregon State University,oregonst
2020,4,,103,FrRnd,2,Orioles,N,,Coby Mayo ,3B,,,,,,,,,,,,,HS,Stoneman-Douglas HS,#N/A
2020,4,,127,FrRnd,26,Athletics,Y,"$447,400 ",Dane Acker ,P,,,,,,,,,,,,,4Yr,University of Oklahoma,oklahoma
2020,4,,115,FrRnd,14,Rangers,Y,"$1,200,000 ",Dylan MacLean ,P,,,,,,,,,,,,,HS,Central Catholic HS,#N/A
2020,4,,102,FrRnd,1,Tigers,Y,"$1,000,000 ",Gage Workman ,3B,,,,,,,,,,,,,4Yr,Arizona State University,arizonast
