yearID,retroID,type,Column7,to-league,teamIDretro,to-league8,draft-type,draft-round,pick-number10
1975,bernv101,Dv,,,MIN,AL,,1,14
1977,bonij001,Dv,,,NYA,AL,,24,
1979,bordb101,Dv,,,CIN,NL,S,1,3
1970,borgg101,Dv,,,MIN,AL,S,5,
1966,freer101,Dv,,,MIN,AL,,38,
1976,leact001,Dv,,,BOS,AL,,7,
1967,sandr103,Dv,,,KC1,AL,,43,
1965,scham101,Dv,,,SFN,NL,,37,
1966,seavt001,Dv,,,ATL,NL,S,1,20
1970,wilem101,Dv,,,OAK,AL,,6,
1973,woodg001,Dv,,,MIN,AL,,27,
1963,fishj101,Ds,SFN,NL,NYN,NL,,,
1963,raymc101,Ds,MLN,NL,HOU,NL,,,
1948,andef102,Dr,CIN,NL,BRO,NL,,,
1954,andej102,Dr,NY1,NL,PHI,NL,,,
1937,barrd101,Dr,CIN,NL,Seattle,(PCL),,,
1992,batim001,Dr,PIT,NL,MON,NL,,,
1994,batta001,Dr,CHA,AL,SLN,NL,,,
2004,beanc001,Dr,BOS,AL,NYA,AL,,,
1997,berbj001,Dr,LAN,NL,SLN,NL,,,
1981,bjorg101,Dr,SFN,NL,SLN,NL,,,
2006,bookc001,Dr,KCA,AL,WAS,NL,,,
1982,borip101,Dr,MIN,AL,NYA,AL,,,
1952,brigh101,Dr,York,(Interstate),CHN,NL,,,
1960,brigh101,Dr,CHN,NL,PIT,NL,,,
2011,brodb001,Dr,WAS,NL,SLN,NL,,,
2004,broof001,Dr,BOS,AL,PIT,NL,,,
2003,browa001,Dr,BOS,AL,TBA,AL,,,
1951,browh101,Dr,CHA,AL,Seattle,(PCL),,,
1973,bruhm101,Dr,PHI,NL,NYN,NL,,,
1970,bryad101,Dr,MIL,AL,HOU,NL,,,
2007,buddr001,Dr,PHI,NL,ANA,AL,,,
2008,capej001,Dr,CIN,NL,COL,NL,,,
2010,cassb001,Dr,OAK,AL,ANA,AL,,,
1997,cataf001,Dr,OAK,AL,DET,AL,,,
2003,chapt001,Dr,DET,AL,PHI,NL,,,
2001,chave002,Dr,KCA,AL,NYN,NL,,,
1937,cissb101,Dr,PHA,AL,Baltimore,(International),,,
2001,clarj003,Dr,DET,AL,SEA,AL,,,
1951,clarm101,Dr,Seattle,(PCL),SLN,NL,,,
1950,connb103,Dr,CHA,AL,DET,AL,,,
1971,coopc001,Dr,SLN,NL,BOS,AL,,,
2008,crabc001,Dr,SDN,NL,MIL,NL,,,
1997,davet001,Dr,BAL,AL,TOR,AL,,,
1986,dejej001,Dr,TOR,AL,KCA,AL,,,
2008,dickr001,Dr,SEA,AL,MIN,AL,,,
2003,duboj001,Dr,TOR,AL,CHN,NL,,,
1995,dunbm001,Dr,FLO,NL,NYA,AL,,,
1949,dunlg102,Dr,NYA,AL,CLE,AL,,,
1950,dunlg102,Dr,SLA,AL,CLE,AL,,,
1997,duroj001,Dr,CHA,AL,MON,NL,,,
1995,eddyc001,Dr,OAK,AL,KCA,AL,,,
1972,ellib104,Dr,CAL,AL,LAN,NL,,,
1992,ellid001,Dr,SEA,AL,PHI,NL,,,
1952,ellig102,Dr,WS1,AL,Sacramento,(PCL),,,
1910,ellir104,Dr,BSN,NL,Birmingham,(Southern Association),,,
2011,emaub001,Dr,NYN,NL,TOR,AL,,,
1950,erich102,Dr,PIT,NL,Quebec,(Canadian-American),,,
1981,filet001,Dr,OAK,AL,NYA,AL,,,
2004,fostj001,Dr,CHN,NL,MIL,NL,,,
1994,garak001,Dr,MIN,AL,NYA,AL,,,
1962,gatea101,Dr,NYN,NL,LAA,AL,,,
1952,genth101,Dr,CHN,NL,NY1,NL,,,
2005,godwt001,Dr,WAS,NL,TOR,AL,,,
1963,heffb101,Dr,CIN,NL,BOS,AL,,,
2008,hernf003,Dr,OAK,AL,CHA,AL,,,
1963,higgd101,Dr,SFN,NL,CHA,AL,,,
2010,hoffj001,Dr,NYA,AL,LAN,NL,,,
1940,hogsc101,Dr,PHA,AL,Minneapolis,(American Association),,,
1947,holck101,Dr,PIT,NL,NYA,AL,,,
1948,holck101,Dr,CIN,NL,Sacramento,(PCL),,,
1991,howep001,Dr,MIN,AL,NYN,NL,,,
1994,hyzda001,Dr,CIN,NL,SFN,NL,,,
1973,johnm101,Dr,BAL,AL,CIN,NL,,,
2003,johnr007,Dr,KCA,AL,TEX,AL,,,
2010,johns001,Dr,SFN,NL,BAL,AL,,,
2005,johnt002,Dr,OAK,AL,SLN,NL,,,
1992,karcm001,Dr,MON,NL,KCA,AL,,,
1961,keege101,Dr,KC1,AL,PHI,NL,,,
1932,kingw101,Dr,SLA,AL,Chattanooga,(Southern Association),,,
2001,knigb001,Dr,MIN,AL,NYA,AL,,,
2012,komae001,Dr,MIN,AL,WAS,NL,,,
2011,kontg001,Dr,SDN,NL,NYA,AL,,,
2003,koroj001,Dr,TEX,AL,CIN,NL,,,
1995,kowib001,Dr,MIN,AL,ATL,NL,,,
2009,kroez001,Dr,FLO,NL,NYA,AL,,,
1985,landb001,Dr,CHA,AL,CIN,NL,,,
1998,lankf001,Dr,LAN,NL,NYA,AL,,,
1989,lawtm001,Dr,CAL,AL,NYN,NL,,,
1963,lipsb101,Dr,CLE,AL,PHI,NL,,,
1968,locks101,Dr,HOU,NL,OAK,AL,,,
1995,lomok001,Dr,NYN,NL,ATL,NL,,,
1999,ludwe001,Dr,TOR,AL,FLO,NL,,,
2003,lunah001,Dr,TBA,AL,CLE,AL,,,
2004,mabec001,Dr,TEX,AL,OAK,AL,,,
1979,macwk101,Dr,SEA,AL,BOS,AL,,,
2003,majeg001,Dr,TOR,AL,CHA,AL,,,
2000,mannj001,Dr,NYN,NL,TOR,AL,,,
1990,manor001,Dr,TEX,AL,NYA,AL,,,
1968,martt102,Dr,HOU,NL,NYN,NL,,,
1968,mashc101,Dr,NYN,NL,CIN,NL,,,
2006,matej002,Dr,SLN,NL,CHN,NL,,,
2000,maurd001,Dr,SFN,NL,SDN,NL,,,
1948,mayoj101,Dr,CHN,NL,PHI,NL,,,
2000,mclem002,Dr,MON,NL,BOS,AL,,,
1974,mcqum103,Dr,CIN,NL,ATL,NL,,,
1988,medvs001,Dr,HOU,NL,PIT,NL,,,
2008,meeke001,Dr,PIT,NL,TBA,AL,,,
1968,moelj101,Dr,HOU,NL,LAN,NL,,,
1966,montw101,Dr,CAL,AL,SLN,NL,,,
1952,morgv101,Dr,SLA,AL,CHN,NL,,,
2009,moser001,Dr,PHI,NL,ANA,AL,,,
2009,novai001,Dr,SDN,NL,NYA,AL,,,
1993,ojalk001,Dr,OAK,AL,NYA,AL,,,
1985,olwie001,Dr,PHI,NL,NYN,NL,,,
1948,ostrj102,Dr,BOS,AL,CHN,NL,,,
1987,palav001,Dr,MIL,AL,PIT,NL,,,
1990,parej001,Dr,DET,AL,MON,NL,,,
2003,paulr001,Dr,KCA,AL,PIT,NL,,,
2011,pendl001,Dr,HOU,NL,NYA,AL,,,
1994,piscm001,Dr,COL,NL,PIT,NL,,,
1959,pisoj101,Dr,MLN,NL,NYA,AL,,,
1988,pratt001,Dr,CLE,AL,BOS,AL,,,
2006,pridj001,Dr,MIN,AL,TBA,AL,,,
1992,quirr001,Dr,SFN,NL,NYA,AL,,,
2011,ramie005,Dr,WAS,NL,NYN,NL,,,
1997,ramoe001,Dr,PHI,NL,HOU,NL,,,
1996,ratlj001,Dr,DET,AL,CHN,NL,,,
1959,raymc101,Dr,CHA,AL,MLN,NL,,,
2010,raynj001,Dr,PIT,NL,FLO,NL,,,
2008,regis001,Dr,NYN,NL,COL,NL,,,
2000,reitc001,Dr,TBA,AL,BOS,AL,,,
1963,richg101,Dr,LAA,AL,SLN,NL,,,
1991,riesn001,Dr,MON,NL,PHI,NL,,,
1962,rippr101,Dr,WS2,AL,CIN,NL,,,
1983,riveg001,Dr,OAK,AL,LAN,NL,,,
1967,robed101,Dr,KC1,AL,PIT,NL,,,
2011,rodrj003,Dr,PIT,NL,CLE,AL,,,
1968,romov101,Dr,LAN,NL,CLE,AL,,,
2005,rowlr002,Dr,MIN,AL,SEA,AL,,,
2001,santj001,Dr,NYN,NL,SFN,NL,,,
1998,satul001,Dr,TOR,AL,SLN,NL,,,
1992,sherd001,Dr,BAL,AL,SDN,NL,,,
1967,shirb101,Dr,NYN,NL,LAN,NL,,,
2007,simoa001,Dr,PHI,NL,TEX,AL,,,
1981,smitb102,Dr,NYN,NL,HOU,NL,,,
1967,sorrb101,Dr,SFN,NL,PHI,NL,,,
2007,speil001,Dr,WAS,NL,MIN,AL,,,
1968,sprig101,Dr,BOS,AL,PIT,NL,,,
1966,stonr102,Dr,KC1,AL,BAL,AL,,,
1980,sulag101,Dr,MIN,AL,SFN,NL,,,
2004,szumj001,Dr,SDN,NL,CHN,NL,,,
1993,taylb001,Dr,TOR,AL,ATL,NL,,,
1950,taylb106,Dr,CHN,NL,BRO,NL,,,
1992,thomm003,Dr,CLE,AL,MON,NL,,,
2004,thomr005,Dr,KCA,AL,PIT,NL,,,
1984,tibbj001,Dr,PHI,NL,NYN,NL,,,
1988,trauj001,Dr,BOS,AL,MON,NL,,,
1955,trimj101,Dr,BOS,AL,PIT,NL,,,
2002,valej005,Dr,DET,AL,CHA,AL,,,
2006,vermj001,Dr,BOS,AL,TOR,AL,,,
2003,victs001,Dr,SDN,NL,LAN,NL,,,
1993,vinaf001,Dr,SEA,AL,NYN,NL,,,
